ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2153343-20160516,2456517,372204,1,"KUNIEJ BERRY ASSOCIATES, LLC",KUNIEJ BERRY ASSOCIATES LLC,1802 W BERTEAU AVE 2ND 211,CHICAGO,IL,60613,47,37,47-37,19,1010,Limited Business License,,,2153343,RENEW,,3/15/2016,4/7/2016,N,5/16/2016,5/15/2018,4/7/2016,4/8/2016,AAI,,31,41.95797826,-87.67444905,"(41.957978259363514, -87.67444905390276)"
51933-20160416,2448276,56932,1,DORMAN TRADING LLC,DORMAN TRADING LLC,141 W JACKSON BLVD  2070,CHICAGO,IL,60604,42,49,42-49,1,1010,Limited Business License,,,51933,RENEW,,2/15/2016,4/7/2016,N,4/16/2016,4/15/2018,4/7/2016,4/8/2016,AAI,,,41.87802566,-87.63206229,"(41.878025655260835, -87.63206228626693)"
1904190-20160516,2455607,329279,1,"EBEL, INC.","EBEL, INC.",222 W MERCHANDISE MART PLZ 15TH 121,CHICAGO,IL,60654,42,14,42-14,18,1010,Limited Business License,,,1904190,RENEW,,3/15/2016,4/7/2016,N,5/16/2016,5/15/2018,4/7/2016,4/8/2016,AAI,,,41.88807428,-87.6349552,"(41.8880742810662, -87.63495520292739)"
17825-20160416,2448169,51916,1,LAWRENCE VAN DE CARR,BOOKLEGGER'S USED BOOKS,2907 N BROADWAY  1ST,CHICAGO,IL,60657,44,23,44-23,19,1010,Limited Business License,,,17825,RENEW,,2/15/2016,4/7/2016,N,4/16/2016,4/15/2018,4/7/2016,4/8/2016,AAI,,8,41.93536051,-87.64409515,"(41.93536051297873, -87.64409514668495)"
2469965-20160831,2469965,407068,1,"LA TERRAZA GALLO CORP.,",LA TERRAZA GALLO,2881 W CERMAK RD 1,CHICAGO,IL,60623,12,7,7-Dec,10,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2469965,ISSUE,6/2/2016,6/7/2016,6/7/2016,N,8/31/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.85174455,-87.69882322,"(41.85174454712867, -87.69882322090157)"
2079480-20160416,2447999,32295,2,"KRISTINE FALLON ASSOCIATES, INC.",KFA,11 E ADAMS ST 11TH 1100,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,,,2079480,RENEW,,2/15/2016,4/7/2016,N,4/16/2016,4/15/2018,4/7/2016,4/8/2016,AAI,,1,41.8793853,-87.62728106,"(41.87938530262081, -87.62728105881872)"
1878540-20160516,2455557,324597,1,"LUCA LANZETTA, LLC","LUCA LANZETTA, LLC",222 W MERCHANDISE MART PLZ 1ST 128,CHICAGO,IL,60654,42,,42-,,1010,Limited Business License,,,1878540,RENEW,,3/15/2016,4/4/2016,N,5/16/2016,5/15/2018,4/4/2016,4/5/2016,AAI,,,41.88807428,-87.6349552,"(41.8880742810662, -87.63495520292739)"
2216384-20160916,2478354,58801,3,CHRISTY WEBBER & CO,CHRISTY WEBBER & CO.,2900 W FERDINAND ST 1ST,CHICAGO,IL,60612,27,,27-,13,4404,Regulated Business License,816,Storage or Use of Hazardous Materials,2216384,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.89012951,-87.69973559,"(41.890129509076, -87.69973558601005)"
1193404-20160916,2478937,219897,1,"Cogent Communications, Inc.","Cogent Communications, Inc.",221 N LA SALLE ST 30,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,1193404,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88630857,-87.63231876,"(41.886308567767294, -87.63231875970524)"
1801451-20160516,2455233,293907,1,"MORFIN CONSTRUCTION GENERAL CARPENTRY, INC.","MORFIN CONSTRUCTION GENERAL CARPENTRY, INC.",1553 S MANNHEIM RD,STONE PARK,IL,60165,,,,,1010,Limited Business License,,,1801451,RENEW,,3/15/2016,4/7/2016,N,5/16/2016,5/15/2018,4/7/2016,4/8/2016,AAI,,,,,
2036631-20160916,2477667,12322,30,"JONES LANG LASALLE AMERICAS, INC.",Jones Lang LaSalle Americas (Illinois) L.P.,550 W ADAMS ST 1ST,CHICAGO,IL,60661,42,12,42-12,1,1010,Limited Business License,,,2036631,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.8793928,-87.64162618,"(41.87939279810978, -87.64162617690114)"
1845649-20160916,2480569,321402,1,DOWNTOWN PARTNERS COMMUNICATIONS INC.,DOWNTOWN PARTNERS COMMUNICATIONS INC.,200 E RANDOLPH ST 34,CHICAGO,IL,60601,42,44,42-44,1,1010,Limited Business License,,,1845649,RENEW,,7/15/2016,8/23/2016,N,9/16/2016,9/15/2018,8/23/2016,8/31/2016,AAI,,,41.88463208,-87.62224799,"(41.8846320757672, -87.6222479910888)"
1902705-20160416,2449768,330274,1,NEW SCHOOLS FOR CHICAGO NFP,NEW SCHOOLS FOR CHICAGO NFP,21 S CLARK ST 43 4301,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,,,1902705,RENEW,,2/15/2016,4/7/2016,N,4/16/2016,4/15/2018,4/7/2016,4/8/2016,AAI,,,41.88143431,-87.63072038,"(41.88143431313232, -87.63072037749313)"
37359-20160416,2448239,54581,1,"HAGEN DECORATORS, INC.",NORTH CENTRAL INSULATION,3204  PLEASANT ST  1ST,ALTOONA,WI,54720,,,,,1010,Limited Business License,,,37359,RENEW,,2/15/2016,3/24/2016,N,4/16/2016,4/15/2018,3/24/2016,3/25/2016,AAI,,,,,
2442395-20160916,2477692,12322,59,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",515 N STATE ST,CHICAGO,IL,60654,42,22,42-22,18,1010,Limited Business License,708,Miscellaneous Commercial Services,2442395,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.8914181,-87.62791476,"(41.89141810118847, -87.62791475607904)"
13599-20160916,2478291,51424,1,SOONWOON CHOI,PARAMOUNT CLEANERS,400 E RANDOLPH ST  2B,CHICAGO,IL,60601,42,6,42-6,1,1010,Limited Business License,648,Dry Cleaning - Drop Off Location,13599,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88464637,-87.6172485,"(41.8846463654345, -87.61724849623945)"
2207355-20161016,2485889,313751,1,"KARRY L. YOUNG DEVELOPMENT, LLC.","KARRY L. YOUNG DEVELOPMENT, LLC.",1310 E 75TH ST 2ND 2,CHICAGO,IL,60619,8,50,Aug-50,3,4404,Regulated Business License,601,Acquisition and Improvement of Land/Residential Buildings,2207355,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.75881612,-87.59277965,"(41.75881611946599, -87.59277965375071)"
62705-20160916,2478242,42175,1,CONCIERGE UNLIMITED INTERNATIONAL,CONCIERGE UNLIMITED INTERNATIONAL,20 N WACKER DR,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,62705,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88241091,-87.63717471,"(41.88241090648542, -87.63717471046387)"
1803873-20160416,2449411,301418,2,SAID V. GAMEZ,SAID'S QUALITY LUGGAGE & SHOE REPAIR,3416 W IRVING PARK RD,CHICAGO,IL,60618,35,16,35-16,17,1010,Limited Business License,,,1803873,RENEW,,2/15/2016,4/11/2016,N,4/16/2016,4/15/2018,4/11/2016,4/11/2016,AAI,,,41.95395601,-87.71364433,"(41.95395600747993, -87.71364432659198)"
2313916-20160916,2477678,12322,45,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas (Illinois), L.P.",1132 W BLACKHAWK ST N/A,CHICAGO,IL,60642,27,,27-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2313916,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.90726025,-87.65680417,"(41.90726025271137, -87.65680417252435)"
1124068-20160516,2453500,14519,2,BLUE SKY BUILDERS INC,"BLUE SKY BUILDERS, INC.",424  OGDEN AVE,DOWNERS GROVE,IL,60515,,,,,1010,Limited Business License,,,1124068,RENEW,,3/15/2016,4/4/2016,N,5/16/2016,5/15/2018,4/4/2016,4/5/2016,AAI,,,,,
2036781-20160916,2477668,12322,31,"JONES LANG LASALLE AMERICAS, INC.",JONES LANG LASALLE AMERICAS INC,8755 W HIGGINS RD  750&100,CHICAGO,IL,60631,41,28,41-28,16,1010,Limited Business License,,,2036781,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.98752558,-87.84508015,"(41.98752558222729, -87.84508014948597)"
2152685-20160416,2448546,209426,3,"THE CABET GROUP, INCORPORATED","The CABET Group, Inc",228 S WABASH AVE 6 600,CHICAGO,IL,60604,42,,42-,,1010,Limited Business License,,,2152685,RENEW,,2/15/2016,4/8/2016,N,4/16/2016,4/15/2018,4/8/2016,4/11/2016,AAI,,1,41.87881216,-87.62624721,"(41.878812162577766, -87.62624720633796)"
2147077-20160916,2481836,370980,1,1700 DIVISION OPERATING LLC,CARRIAGE HOUSE,1700 W DIVISION ST 1,CHICAGO,IL,60622,1,5,5-Jan,14,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2147077,RENEW,,7/15/2016,8/24/2016,N,9/16/2016,9/15/2018,8/24/2016,8/31/2016,AAI,,33,41.90340737,-87.67046561,"(41.90340737417533, -87.67046561351754)"
1992318-20160916,2477666,12322,29,"JONES LANG LASALLE AMERICAS, INC.","JONES LANG LASALLE AMERICAS, INC.",77 W WACKER DR 6TH 640,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,1992318,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88670774,-87.63079458,"(41.88670773797291, -87.6307945777937)"
2359026-20161016,2487205,393679,1,"OFFSITE CHICAGO, LLC","OFFSITE CHICAGO, LLC",560 W WASHINGTON BLVD,CHICAGO,IL,60661,42,21,42-21,1,1010,Limited Business License,708,Miscellaneous Commercial Services,2359026,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.88328391,-87.64218722,"(41.88328390714073, -87.64218721938904)"
1879446-20161016,2484848,34349,2,WILLIAM HARRIS LEE & CO,WILLIAM HARRIS LEE,410 S MICHIGAN AVE  560,CHICAGO,IL,60605,42,49,42-49,1,1009,Manufacturing Establishments,929,Miscellaneous Manufacturing,1879446,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.87670765,-87.62442948,"(41.87670765183466, -87.62442947950342)"
2294274-20160916,2481467,355435,2,United Investments of illinois Inc.,G Skin & Beauty Institute,17 N STATE ST 4 400,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,708,Miscellaneous Commercial Services,2294274,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,1,41.88245665,-87.62770005,"(41.8824566469275, -87.62770004682694)"
2488305-20160831,2488305,409544,1,American Mechanical Systems Inc.,American Mechanical Systems Inc.,199 N WHISPERING HILLS DR,NAPERVILLE,IL,60540,,,,,4404,Regulated Business License,901,"Heating, Ventilation and Air Conditioning Services - Residential",2488305,ISSUE,8/30/2016,8/30/2016,8/30/2016,N,8/31/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,,,
1046172-20160916,2477659,12322,2,"JONES LANG LASALLE AMERICAS, INC.",JONES LANG LASALLE AMERICAS INC,440 S LA SALLE ST,CHICAGO,IL,60605,4,49,Apr-49,1,1010,Limited Business License,,,1046172,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87588847,-87.63188472,"(41.87588847004054, -87.63188472119873)"
1931942-20161016,2486101,336932,1,"B&B BUILDING MAINTENANCE, INC.","B&B BUILDING MAINTENANCE, INC.",1353 W GRAND AVE 1 1,CHICAGO,IL,60642,1,18,18-Jan,12,1010,Limited Business License,,,1931942,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.89093002,-87.66114726,"(41.89093001934072, -87.6611472644946)"
2458260-20160831,2458260,287508,1,FLYING PAN LLC,CHANT,1509 E 53RD ST,CHICAGO,IL,60615,5,54,May-54,2,1481,Caterer's Liquor License,630,Catering of Liquor To Events,2458260,ISSUE,4/4/2016,7/13/2016,6/3/2016,N,8/31/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,61,41.7994367,-87.58873126,"(41.799436696478615, -87.58873125741623)"
1843494-20160916,2480542,320580,1,KETCHUM CORPORATE TECHNOLOGY COMMUNICATION INC,KETCHUM CORPORATE TECHNOLOGY COMMUNICATION INC,200 E RANDOLPH ST 36TH,CHICAGO,IL,60601,42,44,42-44,1,1010,Limited Business License,,,1843494,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88463208,-87.62224799,"(41.8846320757672, -87.6222479910888)"
2113316-20160116,2458600,365417,1,ARKITA S JONES,THE ART OF HAIR & DESIGN STUDIO,2339 W HOWARD ST 1 1,CHICAGO,IL,60645,49,41,49-41,24,1010,Limited Business License,,,2113316,RENEW,,4/11/2016,4/11/2016,N,1/16/2016,1/15/2018,4/11/2016,4/11/2016,AAI,,,42.01941997,-87.68926863,"(42.01941996944736, -87.68926863079678)"
2463265-20160831,2463265,390997,3,"HEALTHY ORGANIC KIDS, INC.",HEALTHY ORGANIC KIDS,955 W GRAND AVE BASEMENT,CHICAGO,IL,60642,27,18,27-18,12,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2463265,ISSUE,4/20/2016,7/7/2016,8/3/2016,N,8/31/2016,6/15/2018,8/31/2016,8/31/2016,AAI,,,41.89102615,-87.65200459,"(41.89102614763669, -87.65200458816506)"
1476329-20160516,2453850,33100,2,KORELLIS SYSTEMS CONTROL INC,Korellis Systems Control Inc.,3546  165TH ST,HAMMOND,IN,46323,,,,,1010,Limited Business License,,,1476329,RENEW,,3/15/2016,4/4/2016,N,5/16/2016,5/15/2018,4/4/2016,4/5/2016,AAI,,,,,
1355316-20160416,2448845,262896,1,"GOLF ACQUISITION GROUP, LLC",GOLF CONSTRUCTION,141 E 141ST ST,HAMMOND,IN,46327,,,,,1010,Limited Business License,,,1355316,RENEW,,2/15/2016,4/4/2016,N,4/16/2016,4/15/2018,4/4/2016,4/5/2016,AAI,,,,,
1677234-20160916,2479229,252885,3,"JOHN E. REID AND ASSOCIATES, INC.","JOHN E. REID AND ASSOCIATES, INC.",209 W JACKSON BLVD  400,CHICAGO,IL,60606,42,49,42-49,1,1010,Limited Business License,,,1677234,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87800606,-87.63402203,"(41.87800606262711, -87.63402203216754)"
1492257-20160516,2454986,276591,1,GRAB BROTHERS IRON WORKS CORP.,GRAB BROTHERS IRON WOKS CORP.,2320  17TH ST,FRANKLIN PARK,IL,60131,,,,,1010,Limited Business License,,,1492257,RENEW,,3/15/2016,4/10/2016,N,5/16/2016,5/15/2018,4/10/2016,4/11/2016,AAI,,,,,
2488391-20160831,2488391,409632,1,"NORTH AMERICAN ASSET MANAGEMENT INC.,","NORTH AMERICAN ASSET MANAGEMENT INC.,",2600 W GRAND AVE 1ST,CHICAGO,IL,60612,26,17,26-17,12,1010,Limited Business License,602,Administrative Commercial Office,2488391,ISSUE,8/31/2016,8/31/2016,8/31/2016,N,8/31/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.89245173,-87.69165537,"(41.89245172946034, -87.69165536486639)"
2354366-20160916,2482507,393025,1,"BANDO TRAVEL SERVICE, INC.","BANDO TRAVEL SERVICE, INC.",4143 W LAWRENCE AVE 1ST A,CHICAGO,IL,60630,39,21,39-21,17,1010,Limited Business License,798,"Sales of Tickets (Airline, Etc)",2354366,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.96808346,-87.73226935,"(41.96808345813467, -87.73226935118802)"
63693-20161016,2485046,59073,1,MARGUERITA MORGAN,STATE FARM INSURANCE,515 E 79TH ST,CHICAGO,IL,60619,6,54,Jun-54,6,1010,Limited Business License,,,63693,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,51,41.7510598,-87.61185177,"(41.75105979709103, -87.6118517658024)"
2233325-20161016,2486435,356608,3,D. & GU WHEELS INC.,D. & GU WHEELS INC.,7651-7655 S ASHLAND AVE 1ST,CHICAGO,IL,60620,17,29,17-29,6,8340,Motor Vehicle Services License,712 | 779,"Motor Vehicle Repair - Engine and Transmission Work | Sale and Storage of Tires, 100 - 1000",2233325,RENEW,,8/15/2016,8/31/2016,N,10/16/2016,10/15/2018,8/31/2016,8/31/2016,AAI,,,41.75431336,-87.66338695,"(41.75431335712795, -87.66338694486377)"
1879638-20161016,2485987,325151,1,DAN COSGROVE,DAN COSGROVE DESIGN,410 S MICHIGAN AVE 7TH 609,CHICAGO,IL,60605,42,49,42-49,1,1010,Limited Business License,,,1879638,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.87670765,-87.62442948,"(41.87670765183466, -87.62442947950342)"
2463533-20160831,2463533,405842,1,PESTO 59 INC.,AVALON BAR & GRILL,5431 N EAST RIVER RD 2ND,CHICAGO,IL,60656,41,28,41-28,16,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2463533,ISSUE,4/25/2016,6/7/2016,6/7/2016,Y,8/31/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.97795547,-87.84631989,"(41.97795546524052, -87.84631988834286)"
1476166-20160916,2478881,207412,19,BUCK MANAGEMENT GROUP LLC,BUCK MANAGEMENT GROUP LLC,333 S WABASH AVE 3RD,CHICAGO,IL,60604,42,49,42-49,1,1010,Limited Business License,,,1476166,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87745041,-87.62592198,"(41.87745040460004, -87.62592197642603)"
2354572-20160916,2482540,393096,1,"Doctors Reporting Service of Texas, Inc.","Doctors Reporting Service of Texas, Inc.",800 E CAMPBELL RD 3RD 399,RICHARDSON,TX,75081,,,,,4404,Regulated Business License,912,Debt Collecting - Administrative Commercial Office,2354572,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,,,
2099329-20160916,2477670,12322,36,"JONES LANG LASALLE AMERICAS, INC.",Jones Lang LaSalle Americas Inc,540 W MADISON ST 1 120,CHICAGO,IL,60661,42,,42-,,1010,Limited Business License,,,2099329,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88196645,-87.64127583,"(41.8819664487557, -87.64127582547708)"
2364371-20160831,2364371,385349,1,"LACUNA ENTERTAINMENT, LLC",LACUNA ENTERTAINMENT,2150 S CANALPORT AVE 1 AND 5,CHICAGO,IL,60608,25,23,25-23,12,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2364371,ISSUE,11/13/2014,3/19/2015,3/13/2015,N,8/31/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.85330146,-87.6499297,"(41.8533014640748, -87.649929695282)"
29436-20161016,2484804,31278,1,"B. B. D. TRUCKING, CO.",B B D,7436 S SOUTH CHICAGO AVE 1ST,CHICAGO,IL,60619,5,20,20-May,3,1010,Limited Business License,,,29436,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.75961943,-87.59708416,"(41.75961942621046, -87.59708416230245)"
2354352-20160916,2482503,393016,1,"DARIA EXPORTS, INC.",TARBOUSH MEDITERRANEAN GRILL,1608 W NORTH AVE 1ST,CHICAGO,IL,60622,32,35,32-35,14,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2354352,RENEW,,7/15/2016,8/31/2016,N,9/16/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,33,41.91073409,-87.66809336,"(41.9107340942111, -87.66809336341993)"
12306-20161016,2485063,63004,1,PRATTFALL INC,"OASIS, THE",6809-6813 N SHERIDAN RD 1ST,CHICAGO,IL,60626,49,29,49-29,24,1471,Late Hour,785,"Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday",12306,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,54,42.0058719,-87.66085203,"(42.005871902451084, -87.66085202755195)"
1904912-20160516,2455678,331382,1,LINDER STREET REALTY INVESTMENT LLC,LINDER STREET REALTY INVESTMENT LLC,21950  ABBEY CT,KILDEER,IL,60047,,,,,1010,Limited Business License,,,1904912,RENEW,,3/15/2016,3/26/2016,N,5/16/2016,5/15/2018,3/26/2016,3/28/2016,AAI,,,,,
2245359-20160916,2477671,12322,38,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc.",111 W JACKSON BLVD 12 1200,CHICAGO,IL,60604,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2245359,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87803443,-87.63117141,"(41.87803442833617, -87.63117140697915)"
2147076-20160916,2481837,370980,1,1700 DIVISION OPERATING LLC,CARRIAGE HOUSE,1700 W DIVISION ST 1,CHICAGO,IL,60622,1,5,5-Jan,14,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2147076,RENEW,,7/15/2016,8/24/2016,N,9/16/2016,9/15/2018,8/24/2016,8/31/2016,AAI,,33,41.90340737,-87.67046561,"(41.90340737417533, -87.67046561351754)"
2487873-20160831,2487873,409328,1,ILIANA AQUIQUE & JANITZIA EMIGDIO,SAMARI'S CLEANING SERVICES,4608 S CHRISTIANA AVE 1,CHICAGO,IL,60632,14,20,14-20,8,4404,Regulated Business License,724,Other Home Occupations,2487873,ISSUE,8/23/2016,8/31/2016,8/31/2016,N,8/31/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.8095763,-87.707758,"(41.80957629749411, -87.70775800434033)"
2147737-20160416,2448232,53917,2,BONG HYOUN PARK,CHICAGO CAMERA SPECIALISTS,5 S WABASH AVE 10 1017,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,,,2147737,RENEW,,2/15/2016,3/30/2016,N,4/16/2016,4/15/2018,3/30/2016,3/30/2016,AAI,,,41.88192156,-87.62606306,"(41.88192156256051, -87.62606305984501)"
2121162-20160916,2481785,366949,1,MARY'S BAR B QUE INC.  File,MARY'S BAR B QUE INC.,606 S PULASKI RD,CHICAGO,IL,60624,24,39,24-39,11,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2121162,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87326901,-87.725555,"(41.873269005714505, -87.7255550035635)"
2488273-20160831,2488273,409536,1,"WIDOW'S OIL CONSULTING FIRM, INC.","WIDOW'S OIL CONSULTING FIRM, INC.",815 W 63RD ST 4TH 400,CHICAGO,IL,60621,20,13,20-13,7,1010,Limited Business License,602,Administrative Commercial Office,2488273,ISSUE,8/30/2016,8/31/2016,8/31/2016,N,8/31/2016,9/15/2018,8/31/2016,8/31/2016,AAI,,,41.77963108,-87.64546977,"(41.77963107685854, -87.64546976885099)"
1000895-20161016,2485205,201182,1,"Food For Thought Cafe at the Adler, Ltd.",Galileo's,1300 S LAKE SHORE DR,CHICAGO,IL,60605,4,,4-,1,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1000895,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.86573231,-87.61966864,"(41.865732312266495, -87.61966863731983)"
2192734-20161016,2486827,376217,1,Sunad Home Care Inc,Sunad Homecare Inc,5232 N WESTERN AVE 1ST,CHICAGO,IL,60625,40,,40-,,1010,Limited Business License,,,2192734,RENEW,,8/15/2016,8/30/2016,N,10/16/2016,10/15/2018,8/30/2016,8/31/2016,AAI,,,41.976838,-87.68933462,"(41.97683800347497, -87.68933462103999)"
2178017-20160916,2481870,372111,1,"FRENCHYCAKE, LLC",LE CAFE,4655 N LINCOLN AVE 1ST,CHICAGO,IL,60625,47,33,47-33,19,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2178017,RENEW,,7/15/2016,8/29/2016,N,9/16/2016,9/15/2018,8/29/2016,8/31/2016,AAI,,21,41.96641309,-87.68693719,"(41.96641308847062, -87.68693718914149)"
2320162-20160916,2477860,17159,3,"ZACKS INVESTMENT RESEARCH, INC.","Zacks Investment Research, Inc.",10 S RIVERSIDE PLZ 16 1600,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,897,Financial Services,2320162,RENEW,,7/15/2016,8/23/2016,N,9/16/2016,9/15/2018,8/23/2016,8/31/2016,AAI,,,41.88166429,-87.63888744,"(41.881664289382925, -87.63888744408949)"
1193312-20160916,2478936,219854,1,COMTEK INTERNATIONAL INC,COMTEK INTERNATIONAL INC,111 N CANAL ST  111,CHICAGO,IL,60606,42,21,42-21,1,1010,Limited Business License,,,1193312,RENEW,,7/15/2016,8/2/2016,N,9/16/2016,9/15/2018,8/2/2016,8/3/2016,AAI,,,41.88356531,-87.63963728,"(41.88356531275924, -87.63963728368087)"
2418732-20160916,2477685,12322,52,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",20 N WACKER DR 34 3410,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2418732,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.88241091,-87.63717471,"(41.88241090648542, -87.63717471046387)"
1878830-20160916,2477664,12322,26,"JONES LANG LASALLE AMERICAS, INC.","JONES LANG LASALLE AMERICAS, INC.",550 W JACKSON BLVD 9TH 910,CHICAGO,IL,60661,42,12,42-12,1,1010,Limited Business License,,,1878830,RENEW,,7/15/2016,8/30/2016,N,9/16/2016,9/15/2018,8/30/2016,8/31/2016,AAI,,,41.87813182,-87.64158544,"(41.878131817732296, -87.64158543637204)"
2147078-20160916,2481838,370980,1,1700 DIVISION OPERATING LLC,CARRIAGE HOUSE,1700 W DIVISION ST 1,CHICAGO,IL,60622,1,5,5-Jan,14,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2147078,RENEW,,7/15/2016,8/24/2016,N,9/16/2016,9/15/2018,8/24/2016,8/31/2016,AAI,,33,41.90340737,-87.67046561,"(41.90340737417533, -87.67046561351754)"
